ENTRADA | 01/10/2025 | 11:55:12
SALIDA | 01/10/2025 | 11:55:17
ENTRADA | 01/10/2025 | 11:56:59
SALIDA | 01/10/2025 | 12:00:53
ENTRADA | 02/10/2025 | 18:51:41
SALIDA | 02/10/2025 | 18:51:43
SALIDA | 02/10/2025 | 18:51:43
SALIDA | 02/10/2025 | 18:51:43
SALIDA | 02/10/2025 | 18:51:43
SALIDA | 02/10/2025 | 18:51:43
SALIDA | 02/10/2025 | 18:51:43
SALIDA | 02/10/2025 | 18:51:43
SALIDA | 02/10/2025 | 18:51:43
SALIDA | 02/10/2025 | 18:51:44
SALIDA | 02/10/2025 | 18:51:44
SALIDA | 02/10/2025 | 18:51:44
SALIDA | 02/10/2025 | 18:51:44
SALIDA | 02/10/2025 | 18:51:44
SALIDA | 02/10/2025 | 18:51:44
SALIDA | 02/10/2025 | 19:03:44
SALIDA | 02/10/2025 | 19:03:44
SALIDA | 02/10/2025 | 19:03:44
SALIDA | 02/10/2025 | 19:03:44
SALIDA | 02/10/2025 | 19:03:44
SALIDA | 02/10/2025 | 19:03:44
SALIDA | 02/10/2025 | 19:03:45
SALIDA | 02/10/2025 | 19:03:45
SALIDA | 02/10/2025 | 19:03:45
SALIDA | 02/10/2025 | 19:03:45
SALIDA | 02/10/2025 | 19:03:45
SALIDA | 02/10/2025 | 19:03:45
SALIDA | 02/10/2025 | 19:03:46
SALIDA | 02/10/2025 | 19:03:46
SALIDA | 02/10/2025 | 19:03:46
SALIDA | 02/10/2025 | 19:03:46
SALIDA | 02/10/2025 | 19:03:46
SALIDA | 02/10/2025 | 19:03:46
SALIDA | 02/10/2025 | 19:03:46
ENTRADA | 04/10/2025 | 12:05:51
ENTRADA | 04/10/2025 | 12:05:51
SALIDA | 04/10/2025 | 12:05:51
SALIDA | 04/10/2025 | 12:05:51
SALIDA | 04/10/2025 | 12:05:53
ENTRADA | 04/10/2025 | 12:05:55
SALIDA | 04/10/2025 | 12:05:56
ENTRADA | 04/10/2025 | 12:05:56
SALIDA | 04/10/2025 | 12:05:57
SALIDA | 04/10/2025 | 12:05:59
ENTRADA | 04/10/2025 | 12:05:59
SALIDA | 04/10/2025 | 12:06:01
SALIDA | 04/10/2025 | 12:13:27
ENTRADA | 04/10/2025 | 12:13:28
